iter,alpha_M1f,beta_M1f,LL_M1f,LL_M3_sim,LR_sim,best_init_idx,n_total_sim,ll_init_0,ll_init_1,ll_init_2,ll_init_3,ll_init_4,ll_init_anchor
96,0.0001001431958,0.01077316759,-729258.812350,-729258.822929,0.021158,0,122997,-729258.812350,-729260.222963,-729418.101539,-729260.068876,-729260.932578,-729258.822929
97,0.004498803576,0.05493591382,-728767.710014,-728770.466206,5.512383,3,122924,-728769.229627,-728767.738176,-728767.932489,-728767.710014,-728767.985027,-728770.466206
98,0,0.01,-727279.036436,-727279.036436,-0.000000,-1,122630,-727279.042548,-727280.520944,-727281.114426,-727280.364614,-727281.250083,-727279.036436
99,0.0001002206681,0.01079627327,-728865.093206,-728865.108955,0.031497,0,122906,-728865.093206,-728866.155555,-728866.693259,-728866.003648,-728866.806283,-728865.108955
100,0.0001008728724,0.0107552044,-728824.328972,-728824.382275,0.106605,0,122854,-728824.328972,-728825.798681,-728826.337224,-728825.627413,-728826.455847,-728824.382275
101,0.0001007906263,0.01078321334,-729023.006711,-729023.056149,0.098875,0,122990,-729023.006711,-729024.572162,-729025.043067,-729024.458373,-729025.152988,-729023.056149
102,0.0001079911502,0.01689756551,-730011.366685,-730011.433720,0.134070,0,123186,-730011.366685,-730012.259108,-730012.639343,-730012.182232,-730012.724527,-730011.433720
103,0,0.01,-727762.280326,-727762.280326,-0.000000,-1,122667,-727762.291193,-727764.191276,-727765.055737,-727763.892009,-727765.244527,-727762.280326
104,0,0.01,-725174.459453,-725174.459453,-0.000000,-1,122179,-725174.473702,-725176.946032,-725177.815893,-725176.661553,-725178.036278,-725174.459453
105,0.0001003439935,0.010379188,-725990.106733,-725990.149423,0.085379,0,122370,-725990.106733,-725990.960182,-725991.628851,-725990.729127,-725991.764412,-725990.149423
106,0.0001001102524,0.01036837619,-727788.719644,-727788.734633,0.029978,0,122715,-727788.719644,-727791.031433,-727791.727874,-727790.838248,-727791.883768,-727788.734633
107,0.0001002899785,0.01079253607,-725037.662117,-725037.681989,0.039744,0,122184,-725037.662117,-725038.344443,-725038.879419,-725038.193310,-725038.988411,-725037.681989
108,0,0.01,-729316.762784,-729316.762784,-0.000000,-1,123057,-729316.806097,-729318.177048,-729318.845375,-729317.990131,-729318.994062,-729316.762784
109,0,0.01,-726996.198286,-726996.198286,-0.000000,-1,122587,-726996.235282,-726998.413245,-726999.186360,-726998.190627,-726999.376854,-726996.198286
110,0,0.01,-727833.459267,-727833.459267,0.000000,-1,122728,-727833.462378,-727835.026168,-727835.727136,-727834.808726,-727835.865362,-727833.459267
111,0,0.01,-731147.753774,-731147.753774,-0.000000,-1,123365,-731147.808326,-731150.107527,-731150.947923,-731149.915490,-731151.151566,-731147.753774
112,0,0.01,-727700.902780,-727700.902780,-0.000000,-1,122743,-727700.910788,-727702.559417,-727703.101242,-727702.416496,-727703.232745,-727700.902780
113,0,0.01,-729332.747292,-729332.747292,0.000000,-1,122992,-729332.762306,-729334.046766,-729334.752836,-729333.826510,-729334.903450,-729332.747292
114,0.0001049925319,0.0135676111,-727429.644581,-727429.717029,0.144895,0,122623,-727429.644581,-727430.711657,-727431.100515,-727430.633382,-727431.197949,-727429.717029
115,0,0.01,-729756.347933,-729756.347933,-0.000000,-1,123110,-729756.364698,-729758.304261,-729759.009533,-729758.114100,-729759.188102,-729756.347933
116,0,0.01,-727221.289610,-727221.289610,0.000000,-1,122592,-727221.290170,-727222.723968,-727223.233044,-727222.607645,-727223.349164,-727221.289610
117,0,0.01,-728073.127941,-728073.127941,0.000000,-1,122768,-728073.215261,-728074.881767,-728075.652897,-728074.681961,-728075.819735,-728073.127941
118,0.002597924764,0.1011376417,-727273.869529,-727275.343186,2.947314,3,122614,-727274.151286,-727274.048293,-727274.638360,-727273.869529,-727274.766285,-727275.343186
119,0.000112216053,0.01581132451,-726554.444718,-726554.551413,0.213389,0,122398,-726554.444718,-726554.760599,-726555.067693,-726554.682554,-726555.145645,-726554.551413
120,0.0001004025283,0.01075735751,-727048.664638,-727048.690054,0.050831,0,122573,-727048.664638,-727050.246357,-727050.935200,-727050.013741,-727051.085711,-727048.690054
121,0.0001004282341,0.01080250536,-726834.818127,-726834.846349,0.056445,0,122493,-726834.818127,-726836.354468,-726836.835587,-726836.241550,-726836.945254,-726834.846349
122,0,0.01,-727217.825468,-727217.825468,-0.000000,-1,122663,-727217.877682,-727219.920075,-727220.696832,-727219.704524,-727220.869407,-727217.825468
123,0.002936194654,0.08339614839,-727141.056708,-727142.707863,3.302310,3,122622,-727141.779143,-727141.180144,-727141.630211,-727141.056708,-727141.728672,-727142.707863
124,0,0.01,-726701.816140,-726701.816140,0.000000,-1,122552,-726701.829065,-726703.172356,-726703.751983,-726703.012397,-726703.882902,-726701.816140
125,0,0.01,-725466.507246,-725466.507246,-0.000000,-1,122259,-725466.536014,-725468.539602,-725469.285136,-725468.333921,-725469.448288,-725466.507246
126,0.0001009243386,0.01078663683,-725063.124333,-725063.181400,0.114135,0,122157,-725063.124333,-725063.706094,-725064.074946,-725063.617759,-725064.154843,-725063.181400
127,0,0.01,-731112.428363,-731112.428363,-0.000000,-1,123370,-731112.431974,-731114.750898,-731115.687145,-731114.397117,-731115.900076,-731112.428363
128,0,0.01,-726385.383444,-726385.383444,0.000000,-1,122444,-726385.418989,-726386.754063,-726387.322846,-726386.613144,-726387.452728,-726385.383444
129,0,0.01,-727920.873346,-727920.873346,0.000000,-1,122755,-727920.908025,-727922.691020,-727923.368388,-727922.507886,-727923.515108,-727920.873346
130,0.003693731812,0.05814362707,-726960.142658,-726961.451956,2.618598,3,122547,-726960.749205,-726960.207871,-726960.494813,-726960.142658,-726960.563644,-726961.451956
131,0.0001003861872,0.01078143583,-727150.813142,-727150.838511,0.050738,0,122619,-727150.813142,-727151.302117,-727151.938760,-727151.093732,-727152.070173,-727150.838511
